Ticket;Symbol;Type;Open time;Open price;Size;Close time;Close price;Profit/Loss;Balance;Sample type;Close type;MAE ($);MFE ($);Time in trade;Comment
103;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.03.24 03:00:00;143.345;0.16;2009.03.24 14:00:00;144.140;87.07;10089.84;IST;Exit After X Bars;-19.40;192.93;11h 0m;
107;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.03.26 10:00:00;143.185;0.15;2009.03.26 20:00:00;142.278;-95.30;9994.54;IST;SL;-94.28;43.14;10h 0m;
117;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.04.02 12:00:00;145.630;0.15;2009.04.02 23:00:00;146.340;72.79;10067.33;IST;Exit After X Bars;-43.14;133.58;11h 0m;
120;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.04.07 18:00:00;148.760;0.15;2009.04.07 20:00:00;147.799;-100.91;9966.42;IST;SL;-99.90;18.71;2h 0m;
131;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.04.13 09:00:00;147.455;0.17;2009.04.13 20:00:00;148.395;109.59;10076.01;IST;Exit After X Bars;-1.77;144.32;11h 0m;
137;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.04.15 13:00:00;148.885;0.18;2009.04.15 15:00:00;148.091;-100.26;9975.75;IST;SL;-99.04;28.07;2h 0m;
166;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.05.05 11:00:00;149.563;0.17;2009.05.05 17:00:00;148.750;-96.93;9878.82;IST;SL;-95.78;34.99;6h 0m;
172;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.05.08 15:00:00;150.195;0.18;2009.05.08 15:00:00;149.401;-100.26;9778.56;IST;SL;-99.04;0.00;0s;
176;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.05.12 12:00:00;149.410;0.18;2009.05.12 14:00:00;148.615;-100.39;9678.17;IST;SL;-99.17;9.36;2h 0m;
183;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.05.18 11:00:00;145.730;0.16;2009.05.18 22:00:00;147.670;214.02;9892.19;IST;Exit After X Bars;-4.99;232.85;11h 0m;
202;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.05.28 12:00:00;154.680;0.18;2009.05.28 19:00:00;153.902;-98.27;9793.93;IST;SL;-97.05;26.20;7h 0m;
204;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.06.01 15:00:00;155.595;0.18;2009.06.01 17:00:00;157.684;259.36;10053.29;IST;PT;0.00;260.58;2h 0m;
210;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.06.10 09:00:00;160.035;0.16;2009.06.10 20:00:00;160.355;34.40;10087.69;IST;Exit After X Bars;-49.34;140.26;11h 0m;
218;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.06.16 14:00:00;159.797;0.18;2009.06.16 16:00:00;159.032;-96.64;9991.04;IST;SL;-95.43;63.62;2h 0m;
256;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.07.14 01:00:00;151.430;0.17;2009.07.14 12:00:00;151.745;35.96;10027.00;IST;Exit After X Bars;-85.41;67.15;11h 0m;
257;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.07.15 18:00:00;154.760;0.16;2009.07.16 05:00:00;154.630;-10.99;10016.01;IST;Exit After X Bars;-36.04;44.91;11h 0m;
266;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.07.23 09:00:00;155.805;0.19;2009.07.23 20:00:00;157.145;175.15;10191.17;IST;Exit After X Bars;-48.06;209.36;11h 0m;
278;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.08.03 17:00:00;160.630;0.21;2009.08.04 04:00:00;161.420;115.52;10306.68;IST;Exit After X Bars;0.00;169.54;11h 0m;
284;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.08.07 16:00:00;162.255;0.2;2009.08.10 03:00:00;162.380;17.85;10324.53;IST;Exit After X Bars;-49.90;114.35;2d 11h 0m;
287;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.08.12 17:00:00;159.450;0.21;2009.08.12 19:00:00;158.779;-99.07;10225.46;IST;SL;-97.65;0.00;2h 0m;
302;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.08.21 17:00:00;156.225;0.19;2009.08.21 21:00:00;155.501;-96.62;10128.85;IST;SL;-95.33;48.72;4h 0m;
313;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.08.28 03:00:00;152.910;0.2;2009.08.28 14:00:00;153.255;46.46;10175.31;IST;Exit After X Bars;-83.16;85.24;11h 0m;
326;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.09.08 12:00:00;152.780;0.23;2009.09.08 18:00:00;152.167;-99.26;10076.04;IST;SL;-97.71;22.31;6h 0m;
345;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.09.21 13:00:00;149.290;0.26;2009.09.22 00:00:00;149.025;-47.07;10028.98;IST;Exit After X Bars;-60.36;58.56;11h 0m;
363;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.10.02 23:00:00;143.035;0.23;2009.10.05 00:00:00;142.433;-95.35;9933.63;IST;SL;-95.95;23.91;2d 1h 0m;
375;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.10.13 21:00:00;143.075;0.25;2009.10.13 23:00:00;142.517;-98.37;9835.26;IST;SL;-96.67;25.12;2h 0m;
376;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.10.14 15:00:00;143.780;0.25;2009.10.14 16:00:00;143.221;-98.54;9736.72;IST;SL;-96.85;12.13;1h 0m;
378;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.10.15 11:00:00;145.180;0.25;2009.10.15 14:00:00;146.700;261.65;9998.37;IST;PT;-12.13;263.34;3h 0m;
379;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.10.16 11:00:00;149.150;0.24;2009.10.16 12:00:00;148.550;-101.42;9896.95;IST;SL;-99.79;26.61;1h 0m;
387;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.10.21 10:00:00;149.715;0.24;2009.10.21 16:00:00;151.294;260.99;10157.95;IST;PT;-69.02;262.62;6h 0m;
389;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.10.23 09:00:00;152.985;0.23;2009.10.23 11:00:00;152.373;-99.10;10058.84;IST;SL;-97.55;40.64;2h 0m;
401;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.10.29 15:00:00;149.955;0.23;2009.10.29 17:00:00;151.577;256.97;10315.82;IST;PT;0.00;258.53;2h 0m;
406;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.11.04 10:00:00;149.665;0.2;2009.11.04 21:00:00;150.490;112.99;10428.81;IST;Exit After X Bars;-19.40;166.32;11h 0m;
434;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.11.25 10:00:00;147.590;0.28;2009.11.25 11:00:00;147.090;-98.92;10329.89;IST;SL;-97.02;13.58;1h 0m;
443;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.12.01 05:00:00;143.765;0.2;2009.12.01 08:00:00;143.064;-98.51;10231.38;IST;SL;-97.16;4.16;3h 0m;
447;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.12.03 04:00:00;146.625;0.21;2009.12.03 15:00:00;146.155;-69.82;10161.56;IST;Exit After X Bars;-88.77;29.11;11h 0m;
448;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.12.04 13:00:00;147.145;0.22;2009.12.04 16:00:00;148.808;252.05;10413.61;IST;PT;-22.11;253.54;3h 0m;
461;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.12.18 10:00:00;146.470;0.23;2009.12.18 18:00:00;145.857;-99.26;10314.35;IST;SL;-97.71;13.55;8h 0m;
479;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.12.30 17:00:00;147.665;0.35;2009.12.30 18:00:00;148.820;277.78;10592.12;IST;PT;0.00;280.15;1h 0m;
494;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.01.13 16:00:00;148.775;0.28;2010.01.13 17:00:00;148.264;-101.05;10491.07;IST;SL;-99.15;27.17;1h 0m;
495;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.01.14 09:00:00;149.775;0.27;2010.01.14 13:00:00;149.253;-99.50;10391.58;IST;SL;-97.67;43.04;4h 0m;
514;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.01.28 04:00:00;146.225;0.22;2010.01.28 15:00:00;146.665;65.59;10457.17;IST;Exit After X Bars;-57.93;153.22;11h 0m;
516;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.02.01 20:00:00;144.870;0.22;2010.02.02 07:00:00;144.595;-41.35;10415.82;IST;Exit After X Bars;-98.34;48.02;11h 0m;
530;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.02.09 19:00:00;140.865;0.21;2010.02.10 06:00:00;140.635;-32.92;10382.90;IST;Exit After X Bars;-60.39;80.04;11h 0m;
541;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.02.16 18:00:00;141.755;0.25;2010.02.17 05:00:00;142.365;106.34;10489.23;IST;Exit After X Bars;0.00;146.40;11h 0m;
567;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.03.05 15:00:00;135.080;0.24;2010.03.05 17:00:00;136.610;252.84;10742.08;IST;PT;0.00;254.47;2h 0m;
574;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.03.12 15:00:00;137.450;0.27;2010.03.15 02:00:00;137.505;11.00;10753.08;IST;Exit After X Bars;-69.23;116.01;2d 11h 0m;
577;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.03.16 13:00:00;137.025;0.28;2010.03.17 00:00:00;137.630;118.13;10871.21;IST;Exit After X Bars;-82.47;158.14;11h 0m;
585;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.03.24 12:00:00;136.830;0.29;2010.03.24 13:00:00;136.339;-100.64;10770.57;IST;SL;-98.68;0.00;1h 0m;
593;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.03.30 15:00:00;139.740;0.29;2010.03.31 02:00:00;139.865;25.88;10796.45;IST;Exit After X Bars;-2.01;162.79;11h 0m;
594;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.03.31 12:00:00;141.515;0.3;2010.03.31 15:00:00;141.037;-101.41;10695.04;IST;SL;-99.38;38.46;3h 0m;
595;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.04.01 02:00:00;142.220;0.29;2010.04.01 13:00:00;142.285;11.10;10706.14;IST;Exit After X Bars;-94.46;102.49;11h 0m;
607;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.04.08 20:00:00;142.445;0.29;2010.04.09 07:00:00;143.000;112.30;10818.44;IST;Exit After X Bars;-5.02;133.65;11h 0m;
612;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.04.13 13:00:00;143.695;0.29;2010.04.13 15:00:00;143.200;-101.44;10716.99;IST;SL;-99.48;16.08;2h 0m;
625;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.04.19 21:00:00;141.535;0.26;2010.04.20 08:00:00;141.995;83.56;10800.56;IST;Exit After X Bars;-19.82;117.12;11h 0m;
633;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.04.26 00:00:00;144.815;0.26;2010.04.26 11:00:00;145.575;135.18;10935.73;IST;Exit After X Bars;-59.46;194.59;11h 0m;
639;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.04.30 09:00:00;144.595;0.24;2010.04.30 16:00:00;144.009;-99.09;10836.65;IST;SL;-97.46;102.29;7h 0m;
640;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.05.04 03:00:00;144.695;0.25;2010.05.04 10:00:00;144.118;-101.66;10734.99;IST;SL;-99.97;36.38;7h 0m;
650;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.05.11 19:00:00;139.185;0.13;2010.05.12 01:00:00;138.136;-94.16;10640.82;IST;SL;-94.50;43.24;6h 0m;
670;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.05.27 10:00:00;131.340;0.14;2010.05.27 21:00:00;132.540;115.48;10756.30;IST;Exit After X Bars;-92.65;130.01;11h 0m;
677;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.06.01 16:00:00;133.520;0.16;2010.06.02 03:00:00;133.720;22.60;10778.90;IST;Exit After X Bars;-55.44;102.56;11h 0m;
689;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.06.10 20:00:00;134.115;0.18;2010.06.11 07:00:00;134.615;62.84;10841.74;IST;Exit After X Bars;-35.55;103.53;11h 0m;
699;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.06.21 09:00:00;135.505;0.22;2010.06.21 19:00:00;134.855;-100.59;10741.15;IST;SL;-99.10;77.75;10h 0m;
701;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.06.22 16:00:00;134.570;0.22;2010.06.22 17:00:00;133.941;-97.39;10643.76;IST;SL;-95.90;0.76;1h 0m;
714;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.07.01 23:00:00;133.070;0.25;2010.07.02 10:00:00;133.510;76.89;10720.65;IST;Exit After X Bars;-64.97;138.60;11h 0m;
716;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.07.06 09:00:00;133.175;0.27;2010.07.06 19:00:00;132.641;-101.74;10618.90;IST;SL;-99.92;91.68;10h 0m;
718;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.07.07 17:00:00;132.600;0.27;2010.07.08 04:00:00;133.645;201.31;10820.21;IST;Exit After X Bars;-77.65;235.76;11h 0m;
724;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.07.13 23:00:00;134.500;0.28;2010.07.14 10:00:00;135.150;126.86;10947.07;IST;Exit After X Bars;0.00;241.58;11h 0m;
739;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.07.23 12:00:00;134.490;0.24;2010.07.23 16:00:00;133.904;-99.09;10847.98;IST;SL;-97.46;60.71;4h 0m;
743;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.07.27 15:00:00;136.330;0.24;2010.07.28 02:00:00;136.835;84.62;10932.60;IST;Exit After X Bars;-92.31;147.19;11h 0m;
781;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.08.18 15:00:00;133.670;0.29;2010.08.18 16:00:00;133.174;-101.64;10830.96;IST;SL;-99.68;13.06;1h 0m;
801;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.08.27 19:00:00;132.480;0.28;2010.08.30 06:00:00;133.530;204.48;11035.43;IST;Exit After X Bars;-57.24;218.29;2d 11h 0m;
806;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.09.03 15:00:00;130.980;0.28;2010.09.03 17:00:00;130.478;-99.30;10936.13;IST;SL;-97.41;133.89;2h 0m;
811;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.09.08 10:00:00;129.305;0.3;2010.09.08 21:00:00;129.945;131.02;11067.15;IST;Exit After X Bars;-86.28;212.06;11h 0m;
821;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.09.15 04:00:00;130.285;0.31;2010.09.15 06:00:00;131.500;258.92;11326.07;IST;PT;0.00;261.02;2h 0m;
832;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.09.24 07:00:00;133.585;0.32;2010.09.24 08:00:00;133.141;-100.63;11225.45;IST;SL;-98.46;39.92;1h 0m;
842;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.10.05 07:00:00;132.805;0.33;2010.10.05 08:00:00;132.380;-99.43;11126.02;IST;SL;-97.19;50.31;1h 0m;
870;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.10.21 04:00:00;128.910;0.38;2010.10.21 05:00:00;128.537;-100.80;11025.22;IST;SL;-98.23;82.95;1h 0m;
876;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.10.26 11:00:00;128.453;0.38;2010.10.26 22:00:00;129.067;159.12;11184.34;IST;Exit After X Bars;-13.69;182.76;11h 0m;
877;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.10.28 13:00:00;129.182;0.38;2010.10.29 00:00:00;129.158;-5.32;11179.01;IST;Exit After X Bars;-91.12;48.45;11h 0m;
878;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.11.01 03:00:00;130.204;0.38;2010.11.01 03:00:00;129.832;-100.54;11078.48;IST;SL;-97.96;29.23;0s;
883;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.11.03 14:00:00;130.542;0.4;2010.11.04 01:00:00;130.646;37.39;11115.87;IST;Exit After X Bars;-88.43;197.64;11h 0m;
891;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.11.10 13:00:00;131.821;0.36;2010.11.10 19:00:00;132.869;259.02;11374.89;IST;PT;0.00;261.46;6h 0m;
894;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.11.12 19:00:00;133.525;0.33;2010.11.12 20:00:00;133.096;-100.34;11274.54;IST;SL;-98.11;8.46;1h 0m;
900;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.11.18 17:00:00;133.625;0.35;2010.11.19 04:00:00;133.797;42.64;11317.18;IST;Exit After X Bars;0.00;143.35;11h 0m;
922;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2010.12.07 11:00:00;130.582;0.36;2010.12.07 20:00:00;131.628;258.52;11575.70;IST;PT;-85.57;260.96;9h 0m;
957;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2011.01.04 10:00:00;127.858;0.39;2011.01.04 19:00:00;127.497;-100.21;11475.49;IST;SL;-97.57;197.57;9h 0m;
959;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2011.01.05 15:00:00;128.749;0.39;2011.01.06 02:00:00;129.027;83.48;11558.97;IST;Exit After X Bars;-62.70;132.43;11h 0m;
969;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2011.01.11 18:00:00;130.141;0.39;2011.01.11 23:00:00;129.774;-101.83;11457.14;IST;SL;-99.19;61.08;5h 0m;
975;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2011.01.18 12:00:00;132.513;0.41;2011.01.18 12:00:00;132.163;-102.22;11354.92;IST;SL;-99.45;1.42;0s;
982;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2011.01.20 15:00:00;131.852;0.39;2011.01.20 17:00:00;131.490;-100.48;11254.44;IST;SL;-97.84;41.35;2h 0m;
988;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2011.01.27 09:00:00;131.844;0.39;2011.01.27 20:00:00;131.947;25.20;11279.64;IST;Exit After X Bars;-91.62;222.43;11h 0m;
995;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2011.02.03 11:00:00;132.816;0.4;2011.02.03 13:00:00;132.464;-100.28;11179.36;IST;SL;-97.57;32.99;2h 0m;
1006;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2011.02.10 18:00:00;133.923;0.43;2011.02.11 05:00:00;133.972;15.73;11195.09;IST;Exit After X Bars;-14.01;96.55;11h 0m;
1008;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2011.02.15 10:00:00;134.200;0.43;2011.02.15 11:00:00;133.868;-101.84;11093.24;IST;SL;-98.93;109.96;1h 0m;
1009;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2011.02.15 15:00:00;135.222;0.43;2011.02.16 02:00:00;135.057;-48.04;11045.20;IST;Exit After X Bars;-68.84;68.54;11h 0m;
1069;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2011.03.29 17:00:00;131.663;0.32;2011.03.30 04:00:00;131.956;65.81;11111.01;IST;Exit After X Bars;-52.34;117.75;11h 0m;
1073;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2011.04.01 04:00:00;133.943;0.33;2011.04.01 15:00:00;134.523;130.41;11241.42;IST;Exit After X Bars;-18.98;151.16;11h 0m;
1074;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2011.04.05 11:00:00;136.787;0.34;2011.04.05 20:00:00;137.921;264.89;11506.31;IST;PT;-20.73;267.19;9h 0m;
1078;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2011.04.08 10:00:00;139.970;0.31;2011.04.08 13:00:00;139.509;-101.14;11405.18;IST;SL;-99.04;12.46;3h 0m;
1086;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2011.04.15 02:00:00;136.992;0.27;2011.04.15 05:00:00;136.463;-100.81;11304.37;IST;SL;-98.98;9.92;3h 0m;
1106;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2011.04.27 11:00:00;135.365;0.32;2011.04.27 17:00:00;136.555;261.73;11566.10;IST;PT;0.00;263.89;6h 0m;
1126;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2011.05.11 14:00:00;133.785;0.3;2011.05.11 17:00:00;133.309;-100.99;11465.10;IST;SL;-98.96;54.26;3h 0m;
1133;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2011.05.17 08:00:00;131.995;0.29;2011.05.17 19:00:00;131.891;-22.86;11442.24;IST;Exit After X Bars;-64.31;237.55;11h 0m;
1144;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2011.05.25 17:00:00;133.596;0.31;2011.05.26 04:00:00;133.684;25.54;11467.78;IST;Exit After X Bars;-76.26;35.66;11h 0m;
1153;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2011.05.31 05:00:00;133.969;0.35;2011.05.31 10:00:00;135.062;262.74;11730.52;IST;PT;0.00;265.11;5h 0m;
1171;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2011.06.14 10:00:00;132.038;0.37;2011.06.14 11:00:00;131.650;-101.99;11628.52;IST;SL;-99.49;60.77;1h 0m;
1182;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2011.06.20 17:00:00;130.158;0.36;2011.06.21 04:00:00;130.089;-16.27;11612.25;IST;Exit After X Bars;-93.80;51.14;11h 0m;
1189;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2011.06.27 10:00:00;129.029;0.41;2011.06.27 10:00:00;128.683;-101.08;11511.17;IST;SL;-98.31;17.33;0s;
1200;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2011.07.05 12:00:00;130.586;0.43;2011.07.05 21:00:00;130.256;-101.25;11409.92;IST;SL;-98.34;76.29;9h 0m;
1231;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2011.07.22 01:00:00;128.277;0.39;2011.07.22 12:00:00;127.919;-99.40;11310.52;IST;Exit After X Bars;-97.57;37.30;11h 0m;
1243;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2011.08.01 00:00:00;127.347;0.41;2011.08.01 00:00:00;127.003;-100.52;11210.01;IST;SL;-97.74;5.40;0s;
1247;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2011.08.04 04:00:00;127.273;0.31;2011.08.04 04:00:00;128.444;249.47;11459.48;IST;PT;0.00;346.31;0s;
1287;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2011.09.06 11:00:00;124.725;0.42;2011.09.06 12:00:00;124.385;-101.80;11357.67;IST;SL;-98.96;95.18;1h 0m;
1293;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2011.09.08 17:00:00;124.361;0.4;2011.09.08 18:00:00;124.003;-101.95;11255.73;IST;SL;-99.24;4.44;1h 0m;
1304;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2011.09.15 16:00:00;121.530;0.39;2011.09.15 18:00:00;121.167;-100.75;11154.98;IST;SL;-98.11;201.08;2h 0m;
1316;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2011.09.23 23:00:00;118.887;0.36;2011.09.23 23:00:00;118.494;-100.48;11054.50;IST;SL;-98.05;0.25;0s;
1319;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2011.09.27 17:00:00;120.142;0.35;2011.09.28 03:00:00;119.736;-97.56;10956.94;IST;SL;-98.48;74.46;10h 0m;
1322;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2011.09.29 11:00:00;119.945;0.34;2011.09.29 22:00:00;119.606;-82.18;10874.76;IST;Exit After X Bars;-94.25;211.12;11h 0m;
